St1_GRF_X,St1_GRF_Y,St1_GRF_Z,St2_GRF_X,St2_GRF_Y,St2_GRF_Z
-32.7596977268681,21.0693723722286,319.181592812993,-53.4507388668842,23.0393555109044,549.985866231681
-33.1965194205257,21.4176620124492,323.179525821555,-52.136840650195,22.5668317201054,548.800184689111
-33.659959897031,21.7177580995578,327.211283385578,-50.8958661795015,22.0685245180904,547.87139536776
-34.1518136472392,21.9666205660626,331.290875714227,-49.735229872571,21.5513121941396,547.236160148153
-34.6737563745269,22.1615051766504,335.435519684332,-48.6611568745015,21.0241301724082,546.92726462665
-35.2276270739966,22.3003382504588,339.664529614787,-47.6767099133837,20.4948486814148,546.971230309481
-35.8155442849014,22.381048651926,343.998392368797,-46.7845907271189,19.9706337407632,547.389258263662
-36.439573757762,22.40112953166,348.458310647418,-45.9850297660131,19.4567225947631,548.19699989991
-37.1007707287396,22.3599571470399,353.066741361943,-45.275740201229,18.9567959904794,549.400346701651
-37.8004546880383,22.2561239452855,357.845647092334,-44.654153513694,18.4756096926283,550.994998943462
-38.5400638806212,22.0884999718327,362.815378492539,-44.1155869573803,18.0191195990374,552.970111756897
-39.3203580044897,21.8580570091202,367.993583350108,-43.6567175956661,17.5953105706806,555.30476477487
-40.1410654000761,21.5668048709074,373.393578255397,-43.2725626985628,17.2141949976969,557.974705406822
