St1_VL,St2_VL,St1_BF,St2_BF,St1_TA,St2_TA,St1_GAL,St2_GAL
0.044398,-0.039956,-0.00539,-0.001639,-0.38787,-0.01311,-0.019858,0.011249
-0.031334,0.073499,-0.000233,0.005275,0.353601,0.006627,0.037458,0.012614
0.00533,-0.04426,-0.000172,0.002629,-0.191982,0.007052,0.000573,0.0156
-0.019683,0.010998,0.003377,-0.000845,-0.008391,-0.007594,0.038025,-0.022229
-0.005686,0.005662,0.003589,0.003753,0.081931,0.015029,-0.040197,0.001792
0.006126,0.009977,-0.000647,-0.006946,-0.015574,-0.008816,0.008204,0.00754
0.009647,0.013977,-0.006127,0.00107,-0.196751,-0.009849,-0.017054,-0.036492
0.007595,-0.014652,-0.00413,0.000127,0.16664,-0.008245,0.019448,0.00415
-0.009587,-0.00463,-9e-05,0.001976,0.242848,0.025225,0.013456,-0.011425
-0.018611,-0.001136,0.004467,0.011606,0.035716,-0.017126,-0.002448,0.026938
-0.002302,-0.005867,-0.000691,-0.005355,-0.009108,-0.008303,0.000485,0.005199
0.004504,0.025566,0.00308,-0.00541,-0.033373,0.016617,-0.002953,0.007412
0.040961,-0.014822,-0.00269,-0.006951,-0.028573,-0.002516,-0.000853,-0.002949
0.038476,-0.025153,-0.006063,0.002951,-0.025248,0.008172,0.001714,-0.006631
-0.011394,0.051681,0.00092,0.003337,-0.007106,-0.015372,-0.00042,-0.007383
-0.084237,-0.07019,0.002295,-0.004753,-0.002657,0.013626,0.003263,-0.007936
-0.000272,-0.00811,0.001807,0.001471,-0.00328,-0.021323,0.005501,3.4e-05
0.021188,-0.011314,0.002459,-0.000457,0.003307,0.006813,-0.001865,-0.009623
0.020734,-0.028817,-0.001434,-0.000149,0.010191,0.023131,-0.024296,0.02051
0.016385,0.045155,-0.000211,-0.000277,0.001836,-0.011193,0.002499,-0.000743
0.00954,-0.005434,-0.000663,-0.00555,0.014004,-0.015072,0.006754,-0.019236
0.003554,0.035076,-0.001079,-0.005944,-0.000245,0.001164,-0.006733,0.010057
0.003735,0.030891,-0.000898,0.001874,-0.003499,0.002749,0.013471,0.021193
0.014676,-0.047436,-0.001138,-0.002071,0.003079,0.002806,0.021876,-0.041318
0.001383,0.033286,-0.004778,-4.9e-05,0.009358,0.010326,-0.009415,-0.018626
-0.063553,-0.132759,0.001444,0.008598,-0.011005,-0.002148,-0.023269,0.02523
-0.026618,-0.023646,0.003578,-0.00233,-0.000962,-0.005896,0.007063,0.001125
-0.00271,0.01021,0.000676,-0.003878,0.003305,0.001346,0.00316,0.006916
0.01115,0.013894,0.003838,-0.00433,-0.006112,-0.006743,-0.002345,0.008376
0.010938,0.010212,-0.002037,0.001552,-0.000173,-0.012911,0.0091,-0.006159
0.006932,0.016346,-0.005282,0.010176,-0.002114,0.003092,0.011953,0.003684
0.006821,-0.035528,0.001395,-0.000556,0.000857,0.004546,-0.016004,-0.002469
-0.02114,-0.005519,0.003139,-0.005763,0.003804,0.010538,-0.029904,0.004297
0.007258,0.018966,-0.000951,-0.00159,-0.012723,0.001675,0.005802,0.002114
-0.005543,0.017007,0.004094,0.0014,0.087268,-0.019706,0.012828,-0.000815
-0.03266,0.004028,0.001459,-0.000203,-0.024288,0.045357,-0.009359,0.007878
